record_id,lat,common_name,sci_name,species_abbreviation,count
1083001,-45.916666666666664,Royal / Wandering albatross,Diomedea epomophora / sanfordi / antipodensis / exulans,DIOEPOSANANTEXU,6
1083001,-45.916666666666664,Black-browed albatross,Diomedea impavida / melanophrys,DIOIMPMEL,2
1083001,-45.916666666666664,Cape petrel,Daption capense,DAPCAP,8
1083001,-45.916666666666664,Fairy prion,Pachyptila turtur,PACTUR,2
1083001,-45.916666666666664,Sooty shearwater,Puffinus griseus,PUFGRI,4
1084001,-35.53333333333333,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,10
1084001,-35.53333333333333,Black-browed albatross,Diomedea impavida / melanophrys,DIOIMPMEL,2
1084001,-35.53333333333333,Sooty shearwater,Puffinus griseus,PUFGRI,18
1084002,-37.666666666666664,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,10
1084002,-37.666666666666664,Black-browed albatross,Diomedea impavida / melanophrys,DIOIMPMEL,2
1084002,-37.666666666666664,Cape petrel,Daption capense,DAPCAP,2
1084002,-37.666666666666664,Prion (unidentified),Pachyptila sp,PACSP,2
1084002,-37.666666666666664,Sooty shearwater,Puffinus griseus,PUFGRI,8
1084002,-37.666666666666664,Seabird (Unidentified),NA,SEABUN,1
1084003,-40,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,14
1084003,-40,Black-browed albatross,Diomedea impavida / melanophrys,DIOIMPMEL,4
1084003,-40,Giant petrel,Macronectes sp.,MACSP,3
1084003,-40,Cape petrel,Daption capense,DAPCAP,8
1084003,-40,Fairy prion,Pachyptila turtur,PACTUR,18
1086001,-36.166666666666664,Fairy prion,Pachyptila turtur,PACTUR,6
1086001,-36.166666666666664,Black petrel,Procellaria parkinsoni,PROPAR,55
1086001,-36.166666666666664,Australasian gannet,Morus serrator,MORSER,12
1086002,-35.416666666666664,Wilson's storm petrel,Oceanites oceanicus,OCEOCE,22
1086002,-35.416666666666664,Australasian gannet,Morus serrator,MORSER,7
1086003,-35.25,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,4
1086003,-35.25,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,2
1086003,-35.25,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,3
1086003,-35.25,Northern giant petrel,Macronectes halli,MACHAL,3
1086003,-35.25,White-chinned petrel,Procellaria aequinoctialis,PROAEQ,1
1086003,-35.25,Sooty shearwater,Puffinus griseus,PUFGRI,1
1086004,-35.3,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,4
1086004,-35.3,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,2
1086004,-35.3,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,3
1086004,-35.3,Northern giant petrel,Macronectes halli,MACHAL,1
1086004,-35.3,White-chinned petrel,Procellaria aequinoctialis,PROAEQ,1
1086005,-36.5,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,3
1086005,-36.5,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,4
1086005,-36.5,Northern royal albatross,Diomedea sanfordi,DIOSAN,2
1086005,-36.5,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,4
1086005,-36.5,White-chinned petrel,Procellaria aequinoctialis,PROAEQ,2
1086005,-36.5,Petrel (unidentified),NA,PETRUN,2
1086006,-36.333333333333336,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,1
1086006,-36.333333333333336,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,3
1086007,-39.18333333333333,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,1
1086007,-39.18333333333333,Sooty shearwater,Puffinus griseus,PUFGRI,1
1086007,-39.18333333333333,Australasian gannet,Morus serrator,MORSER,1
1087001,NA,[NO BIRDS RECORDED],NA,NA,NA
1087002,-39.666666666666664,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,3
1087002,-39.666666666666664,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,2
1087002,-39.666666666666664,Black-browed albatross,Diomedea impavida / melanophrys,DIOIMPMEL,3
1087002,-39.666666666666664,White-chinned petrel,Procellaria aequinoctialis,PROAEQ,3
1087003,-39.666666666666664,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,3
1087003,-39.666666666666664,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,2
1087003,-39.666666666666664,Black-browed albatross,Diomedea impavida / melanophrys,DIOIMPMEL,3
1087003,-39.666666666666664,White-chinned petrel,Procellaria aequinoctialis,PROAEQ,6
1087003,-39.666666666666664,Sooty shearwater,Puffinus griseus,PUFGRI,48
1087003,-39.666666666666664,Diving-petrel (unidentified),Pelecanoides sp.,PELSP,1
1087004,-39.85,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,3
1087004,-39.85,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,2
1087004,-39.85,Black-browed albatross,Diomedea impavida / melanophrys,DIOIMPMEL,3
1087005,-39.93333333333333,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,3
1087005,-39.93333333333333,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,2
1087005,-39.93333333333333,Black-browed albatross,Diomedea impavida / melanophrys,DIOIMPMEL,3
1087006,-40,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,3
1087006,-40,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,2
1087006,-40,Black-browed albatross,Diomedea impavida / melanophrys,DIOIMPMEL,3
1087007,-40,Diving-petrel (unidentified),Pelecanoides sp.,PELSP,2
1087008,-40.1,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,1
1087008,-40.1,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,1
1087008,-40.1,Southern royal albatross,Diomedea epomophora,DIOEPO,2
1087008,-40.1,Southern royal albatross,Diomedea epomophora,DIOEPO,3
1087008,-40.1,Cape petrel,Daption capense,DAPCAP,4
1087008,-40.1,Broad-billed prion,Pachyptila vittata,PACVIT,48
1087009,-40.166666666666664,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,1
1087009,-40.166666666666664,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,1
1087009,-40.166666666666664,Fairy prion,Pachyptila turtur,PACTUR,4
1087009,-40.166666666666664,Buller's shearwater,Puffinus bulleri,PUFBUL,4
1087009,-40.166666666666664,Sooty shearwater,Puffinus griseus,PUFGRI,2
1087009,-40.166666666666664,Broad-billed prion,Pachyptila vittata,PACVIT,32
1087010,-40.2,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,2
1087010,-40.2,Buller's shearwater,Puffinus bulleri,PUFBUL,2
1087010,-40.2,Skua (unidentified),Catharacta / Stercorarius sp.,SKUAUN,1
1087011,-40.21666666666667,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,2
1087011,-40.21666666666667,Cape petrel,Daption capense,DAPCAP,3
1087011,-40.21666666666667,Buller's shearwater,Puffinus bulleri,PUFBUL,15
1087011,-40.21666666666667,Sooty shearwater,Puffinus griseus,PUFGRI,2
1087011,-40.21666666666667,Australasian gannet,Morus serrator,MORSER,2
1088001,-33,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,6
1088001,-33,Black-browed albatross,Diomedea impavida / melanophrys,DIOIMPMEL,1
1088001,-33,Cape petrel,Daption capense,DAPCAP,5
1088001,-33,Flesh-footed shearwater,Puffinus carneipes,PUFCAR,1
1088001,-33,Subantarctic skua,Catharacta antarctica,CATANT,1
1088002,-33,Wedge-tailed shearwater,Puffinus pacificus,PUFPAC,40
1088002,-33,Black-winged petrel,Pterodroma nigripennis,PTENIG,2
1088003,-34,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,7
1088003,-34,Black-browed albatross,Diomedea impavida / melanophrys,DIOIMPMEL,1
1088003,-34,Black-browed albatross,Diomedea impavida / melanophrys,DIOIMPMEL,1
1088003,-34,Cape petrel,Daption capense,DAPCAP,3
1088003,-34,Pomarine skua,Stercorarius pomarinus,STEPOM,2
1088004,-35,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,1
1088004,-35,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,5
1088004,-35,Black-browed albatross,Diomedea impavida / melanophrys,DIOIMPMEL,5
1088004,-35,Giant petrel,Macronectes sp.,MACSP,1
